numero_station,date_heure,co,no,no2,pm2_5,pst,pm10,o3,so2,bc1_370nm,bc6_880nm,Benzene,Toluene,Ethylbenzene,M P-Xylene,O-Xylene
3,2020-01-01 01:00,N/M,0.121867,8.667018,8.746077,N/M,N/M,15.65643,0,N/M,N/M,5.743625,2.754026,0.355111,6.189929,0.569096
3,2020-01-01 02:00,N/M,0.070021,5.937763,5.5934,N/M,N/M,16.69138,0,N/M,N/M,1.40336,1.692388,0.479124,17.34458,0.638791
3,2020-01-01 03:00,N/M,0.847384,10.14027,6.916233,N/M,N/M,13.30661,0,N/M,N/M,1.384068,1.533221,0.363582,13.26551,0.476262
3,2020-01-01 04:00,N/M,0.343275,6.808739,6.848,N/M,N/M,15.83292,0,N/M,N/M,1.364819,1.456055,0.346235,11.88057,0.420513
3,2020-01-01 05:00,N/M,0.085947,4.765573,6.238298,N/M,N/M,17.40574,0,N/M,N/M,0.785679,1.041375,0.248069,9.535387,0.309693
3,2020-01-01 06:00,N/M,0.500375,6.427351,5.181798,N/M,N/M,16.01962,0,N/M,N/M,1.363111,1.365097,0.336055,11.88513,0.414972
3,2020-01-01 07:00,N/M,0.339138,5.266952,3.737498,N/M,N/M,16.55833,0,N/M,N/M,4.344375,1.839236,0.284125,8.96893,0.456597
3,2020-01-01 08:00,N/M,0,2.326473,2.767199,N/M,N/M,18.37426,0,N/M,N/M,2.343888,2.003875,0.241971,1.623972,0.229833
3,2020-01-01 09:00,N/M,0.250407,2.275458,3.048666,N/M,N/M,17.8494,0,N/M,N/M,0.838998,1.985097,0.240735,0.83736,0.225013
3,2020-01-01 10:00,N/M,1.313734,2.952527,3.015366,N/M,N/M,17.03512,0,N/M,N/M,1.892763,1.133054,0.134665,0.500958,0.112166
3,2020-01-01 11:00,N/M,1.080764,2.022802,2.878098,N/M,N/M,17.82525,0,N/M,N/M,1.197486,0.995,0.122318,0.452888,0.102679
3,2020-01-01 12:00,N/M,1.016543,1.920601,2.758632,N/M,N/M,17.93505,0,N/M,N/M,1.317152,1.085276,0.114276,0.398193,0.106776
3,2020-01-01 13:00,N/M,1.323009,2.566291,3.067698,N/M,N/M,17.95944,0,N/M,N/M,0.915041,1.437526,0.172472,0.621944,0.152444
3,2020-01-01 14:00,N/M,1.089535,2.393354,3.289833,N/M,N/M,19.84056,0.054097,N/M,N/M,5.387804,1.964498,0.18954,1.4615,0.238055
3,2020-01-01 15:00,N/M,1.168346,2.707171,2.752965,N/M,N/M,20.00272,0.133894,N/M,N/M,6.770458,2.060513,0.197319,1.853986,0.326415
3,2020-01-01 16:00,N/M,0.812533,3.767188,3.789433,N/M,N/M,18.07929,0,N/M,N/M,4.560375,1.805055,0.194721,1.20375,0.238998
3,2020-01-01 17:00,N/M,0.48677,5.794357,5.125058,N/M,N/M,16.28279,0,N/M,N/M,1.93311,2.163583,0.283138,0.823957,0.275819
3,2020-01-01 18:00,N/M,0.448617,6.742582,5.690465,N/M,N/M,15.6115,0,N/M,N/M,5.624444,2.225778,0.2506667,1.065111,0.2764444
3,2020-01-01 19:00,N/M,0.561513,5.739618,5.959332,N/M,N/M,14.87885,0,N/M,N/M,3.183193,2.331193,0.287499,0.841943,0.295583
3,2020-01-01 20:00,N/M,0.536921,6.357832,4.911033,N/M,N/M,15.39301,0,N/M,N/M,5.268791,2.183541,0.243985,1.802554,0.347263
3,2020-01-01 21:00,N/M,0.666123,7.432658,3.560365,N/M,N/M,16.98158,0,N/M,N/M,6.833319,2.551693,0.348194,6.577791,0.775637
3,2020-01-01 22:00,N/M,0.134618,3.030644,2.335966,N/M,N/M,25.3203,0,N/M,N/M,6.844512,2.632833,0.341471,5.257998,0.732666
3,2020-01-01 23:00,N/M,0.044596,1.918102,2.058465,N/M,N/M,28.75435,0,N/M,N/M,2.424582,1.494179,0.178763,1.044319,0.189125
3,2020-01-01 00:00,N/M,0.249231,3.002177,2.039932,N/M,N/M,32.59107,0,N/M,N/M,2.955513,1.253221,0.130971,0.679611,0.15054
3,2020-01-02 01:00,N/M,0,1.653767,2.289253,N/M,N/M,36.2221,0,N/M,N/M,1.36211,1.172165,0.148916,0.433916,0.12768
3,2020-01-02 02:00,N/M,0,2.024164,2.566766,N/M,N/M,36.42732,0,N/M,N/M,1.765861,1.314762,0.17125,0.460429,0.14068
3,2020-01-02 03:00,N/M,0,5.539908,2.665998,N/M,N/M,30.9317,0,N/M,N/M,6.039373,1.799486,0.183402,1.633416,0.287499
3,2020-01-02 04:00,N/M,0.114395,9.396125,2.665832,N/M,N/M,27.63661,0,N/M,N/M,1.207846,1.142429,0.231416,6.968305,0.310151
3,2020-01-02 05:00,N/M,0,4.928883,3.702033,N/M,N/M,31.39767,0.01776,N/M,N/M,1.142804,1.087679,0.266416,9.540637,0.347319
